Meeting Name,Date,Time (UTC)
"ZOLEO Detailed EPIC Walkthrough (New Cycle)",2026-07-02,13:30-16:00
"Eng Initiatives Sync - FinOps + EngOps",2026-07-03,12:30-13:30
"ZOLEO Detailed EPIC Walkthrough (New Cycle)",2026-07-03,13:30-16:00
"Andrew/Danial 1-1",2026-07-06,12:30-13:00
"ZOLEO EPIC's Technical Design's Walkthrough",2026-07-06,13:30-16:00
"ZOLEO EPIC's Technical Design's Walkthrough",2026-07-07,13:30-15:00
"ZOLEO Story and Sprint Planning Session",2026-07-08,14:00-16:00
"Touchpoint",2026-07-09,13:30-14:00
"MyZoleo Team Standup",2026-07-09,14:00-14:20
"MyZoleo Team Standup",2026-07-10,14:00-14:20
"Follow up - Service Catalog review for Operation Excellence and FinOps",2026-07-10,15:00-15:30
"Andrew/Danial 1-1",2026-07-13,12:30-13:00
"MyZoleo Team Standup",2026-07-13,14:00-14:20
"Team Lead Briefing",2026-07-13,15:00-16:00
"MyZOLEO testing / launch plan",2026-07-13,17:30-18:00
"MyZoleo Team Standup",2026-07-14,14:00-14:20
"MyZoleo Team Standup",2026-07-15,14:00-14:20
"MyZoleo Team Standup",2026-07-16,14:00-14:20
"KT for MyZOLEO Initiatives (Product/Stakeholder Initiatives)",2026-07-16,14:30-15:00
"Pricing Plan and Track Deployment Plan Walkthrough",2026-07-16,15:00-15:30
